GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,SM_COST,TRAIN_COST,CAR_COST
2,0,1,221,3,0,1,1,0,4,0,2,0,2,22,1,1,1,0.89,25,1.2,0.38,29,0.3,0,0.56,26,2,0.29,0.25,0.26
3,1,1,501,1,1,3,2,0,3,1,3,0,22,1,1,1,1,1.5,211,1.2,0.64,281,0.1,0,1.36,135,2,2.81,2.11,1.35
3,1,1,884,3,1,3,2,0,4,1,3,0,25,2,1,1,1,1.72,136,0.6,1.13,153,0.2,0,1.43,80,3,1.53,1.36,0.8
3,1,1,657,3,1,1,0,0,3,1,0,0,2,1,1,1,1,0.97,82,1.2,0.57,99,0.1,0,0.96,70,3,0.99,0.82,0.7
3,1,1,1017,4,0,1,3,0,3,1,2,0,25,1,1,1,1,1.82,74,1.2,0.81,99,0.1,0,1.68,145,1,0.99,0.74,1.45
3,1,1,572,3,0,1,2,1,3,0,3,0,22,1,1,1,1,2.05,48,0.6,1.05,58,0.1,0,2.6,162,2,0.58,0.48,1.62
3,1,1,639,3,0,3,2,1,3,1,2,0,2,17,1,1,1,1.74,88,0.3,0.61,103,0.1,0,1.12,95,2,1.03,0.88,0.95
3,1,1,958,4,0,1,1,0,5,1,1,0,2,14,1,1,1,1.84,41,0.3,1.49,49,0.3,0,1.1,75,3,0.49,0.41,0.75
2,0,1,242,3,0,1,1,1,4,0,2,0,25,22,1,1,1,0.78,25,0.3,0.45,28,0.1,0,0.6,32,1,0.28,0.25,0.32
3,1,1,483,1,1,1,1,1,2,1,2,0,2,1,1,1,1,1.55,68,0.6,0.71,78,0.1,0,0.8,70,2,0.78,0.68,0.7
3,1,1,807,3,1,1,3,0,3,0,1,0,22,1,1,1,1,1.64,106,1.2,0.56,118,0.2,0,2.21,105,2,1.18,1.06,1.05
2,0,1,30,1,0,5,2,1,2,1,2,0,22,2,1,1,1,1.04,60,0.3,0.53,80,0.2,1,0.7,35,2,0.8,0.6,0.35
2,0,1,362,3,1,3,1,1,3,1,3,0,2,17,1,1,1,1.74,211,1.2,0.84,281,0.1,0,1.12,85,3,2.81,2.11,0.85
3,1,1,1086,4,0,3,1,1,5,1,2,0,22,1,1,1,1,1.82,103,1.2,0.68,144,0.1,0,2.0,100,3,1.44,1.03,1.0
3,1,1,1039,4,0,3,1,0,2,1,1,0,25,22,1,1,1,1.01,42,0.6,0.82,48,0.2,0,0.65,25,2,0.48,0.42,0.25
3,1,1,665,3,1,1,0,0,5,1,0,0,2,1,1,1,1,1.02,65,1.2,0.54,76,0.2,0,0.9,78,3,0.76,0.65,0.78
3,1,1,737,3,1,1,2,0,4,1,3,0,25,11,1,1,1,2.31,76,1.2,1.31,88,0.2,0,1.36,96,2,0.88,0.76,0.96
2,0,1,341,3,0,10,1,1,4,1,1,0,25,22,1,1,1,0.51,44,0.6,0.33,53,0.2,1,0.58,30,1,0.53,0.44,0.3
3,1,1,710,3,1,1,2,0,3,1,3,0,2,25,1,1,1,1.14,131,0.3,0.55,146,0.3,0,2.2,130,2,1.46,1.31,1.3
3,1,1,717,3,1,1,2,0,3,1,3,0,17,11,1,1,1,1.3,72,0.6,0.74,76,0.2,0,0.8,52,3,0.76,0.72,0.52
3,1,1,688,3,1,1,1,1,3,1,3,0,1,22,1,1,1,2.32,92,0.3,1.18,109,0.3,0,2.21,124,2,1.09,0.92,1.24
3,1,1,1006,4,0,1,1,1,5,1,2,0,1,2,1,1,1,1.72,50,0.6,0.93,62,0.3,0,1.43,56,3,0.62,0.5,0.56
3,1,1,901,3,1,3,2,1,2,1,3,0,22,1,1,1,1,1.76,170,0.6,0.79,245,0.3,0,1.44,175,3,2.45,1.7,1.75
3,1,1,453,1,0,1,2,1,2,0,2,0,25,1,1,1,1,2.36,74,0.6,0.81,99,0.3,0,3.25,128,2,0.99,0.74,1.28
3,1,1,693,3,1,1,2,0,2,1,2,0,22,1,1,1,1,1.57,92,0.6,0.73,105,0.2,0,1.95,100,2,1.05,0.92,1.0
2,0,1,326,3,0,7,1,1,1,1,1,1,1,2,1,1,1,1.32,2220,1.2,0.93,2960,0.1,0,0.72,50,1,0.0,0.0,0.5
3,1,1,1064,4,0,3,1,1,2,0,2,0,25,2,1,1,1,1.14,80,0.6,0.55,90,0.2,0,1.56,75,3,0.9,0.8,0.75
3,1,1,565,3,0,1,2,1,2,1,1,0,17,2,1,1,1,1.26,42,0.6,0.71,54,0.3,0,1.1,70,3,0.54,0.42,0.7
3,1,1,1064,4,0,3,1,1,2,0,2,0,25,2,1,1,1,1.14,72,1.2,0.49,83,0.3,0,1.56,60,3,0.83,0.72,0.6
3,1,1,869,3,1,3,2,0,3,1,3,0,22,1,1,1,1,2.06,184,1.2,1.15,218,0.2,0,2.1,143,2,2.18,1.84,1.43
3,1,1,691,3,1,1,2,0,2,1,2,0,17,10,1,1,1,1.83,83,1.2,0.88,94,0.3,0,2.21,88,2,0.94,0.83,0.88
2,0,1,87,1,1,5,2,1,2,1,2,0,20,2,1,1,1,1.81,75,1.2,1.23,133,0.1,0,1.4,68,3,1.33,0.75,0.68
3,1,1,648,3,0,3,2,1,4,1,3,0,2,1,1,1,1,1.06,68,1.2,0.48,95,0.1,0,1.1,60,3,0.95,0.68,0.6
2,0,1,413,5,1,6,2,1,3,1,3,1,2,17,1,1,1,1.88,4200,1.2,0.95,5460,0.2,0,1.5,123,2,0.0,0.0,1.23
3,1,1,876,3,1,3,2,0,4,1,3,0,2,17,1,1,1,2.09,189,0.3,0.9,225,0.3,0,2.08,84,2,2.25,1.89,0.84
3,1,1,1072,4,0,3,1,1,2,0,1,0,22,12,1,1,1,1.42,77,0.6,0.99,98,0.3,0,0.96,97,2,0.98,0.77,0.97
3,1,1,1055,4,0,3,1,0,3,0,3,0,25,12,1,1,1,1.75,95,1.2,1.17,106,0.3,0,2.34,84,3,1.06,0.95,0.84
3,1,1,696,3,1,1,2,0,2,1,3,0,2,17,1,1,1,1.46,73,0.3,1.14,84,0.3,0,1.5,95,3,0.84,0.73,0.95
3,1,1,871,3,1,3,2,0,3,1,3,0,25,9,1,1,1,2.22,218,1.2,1.03,245,0.3,0,1.6,169,2,2.45,2.18,1.69
3,1,1,808,3,1,1,3,0,3,1,2,0,2,1,1,1,1,1.08,71,0.6,0.53,92,0.3,0,1.0,60,3,0.92,0.71,0.6
2,0,1,245,3,0,1,1,1,5,0,1,0,25,2,1,1,1,1.4,40,0.6,0.64,53,0.3,0,0.75,70,2,0.53,0.4,0.7
2,0,1,401,5,0,1,3,1,3,1,2,0,2,1,1,1,1,0.97,31,0.6,0.46,40,0.1,0,0.78,65,2,0.4,0.31,0.65
3,1,1,1117,4,1,1,1,0,3,0,3,0,25,2,1,1,1,1.25,82,1.2,0.49,90,0.2,0,1.56,80,1,0.9,0.82,0.8
3,1,1,482,1,1,1,1,1,4,1,3,0,22,1,1,1,1,2.67,90,1.2,1.67,105,0.3,0,1.36,143,3,1.05,0.9,1.43
2,0,1,203,2,1,6,1,1,3,1,3,1,23,25,1,1,1,0.86,4200,1.2,0.68,5460,0.2,0,1.2,91,1,0.0,0.0,0.91
3,1,1,989,4,0,1,1,1,3,1,2,0,2,1,1,1,1,1.9,46,0.3,1.16,58,0.3,0,0.88,84,2,0.58,0.46,0.84
3,1,1,505,1,1,3,2,0,4,1,2,0,22,17,1,1,1,2.6,202,1.2,1.21,237,0.3,0,2.86,148,3,2.37,2.02,1.48
2,0,1,241,3,0,1,1,1,4,0,2,0,25,1,1,1,1,2.3,74,0.3,1.11,99,0.2,1,1.9,169,1,0.99,0.74,1.69
3,1,1,983,4,0,1,1,1,2,1,2,0,2,22,1,1,1,2.34,50,1.2,1.41,50,0.3,0,1.2,80,2,0.5,0.5,0.8
3,1,1,474,1,0,3,3,0,5,0,1,0,22,2,1,1,1,1.18,53,1.2,0.47,80,0.1,0,0.91,52,3,0.8,0.53,0.52
2,0,1,345,3,1,1,1,1,2,1,3,0,1,2,1,1,1,1.26,68,1.2,0.81,81,0.2,0,1.0,130,2,0.81,0.68,1.3
3,1,1,1049,4,0,3,1,0,5,0,2,0,22,1,1,1,1,2.46,123,0.6,1.68,139,0.2,0,2.34,120,3,1.39,1.23,1.2
3,1,1,678,3,1,1,1,0,4,1,3,0,25,13,1,1,1,2.97,90,0.3,1.8,97,0.1,0,1.8,104,3,0.97,0.9,1.04
3,1,1,1140,4,1,1,1,1,4,1,3,0,22,1,1,1,1,1.63,110,1.2,0.8,146,0.1,0,1.36,120,3,1.46,1.1,1.2
2,0,1,412,5,1,6,2,1,2,0,2,1,1,17,1,1,1,0.97,5040,1.2,0.44,5460,0.2,0,0.91,35,2,0.0,0.0,0.35
2,0,1,356,3,1,1,1,1,5,1,4,0,1,2,1,1,1,1.35,58,0.3,0.58,81,0.2,0,1.17,55,1,0.81,0.58,0.55
3,1,1,528,2,0,6,1,1,3,1,2,0,2,1,1,1,1,0.92,12,1.2,0.41,14,0.3,0,0.64,65,2,0.14,0.12,0.65
2,0,1,411,5,1,1,2,1,4,1,3,0,2,15,1,1,1,1.79,101,1.2,0.66,118,0.2,0,1.82,90,2,1.18,1.01,0.9
3,1,1,724,3,1,1,2,0,3,1,3,0,22,1,1,1,1,1.82,116,0.3,0.82,150,0.2,0,1.8,156,2,1.5,1.16,1.56
3,1,1,1009,4,0,1,1,1,2,1,3,0,1,22,1,1,1,1.5,47,1.2,0.56,53,0.3,0,2.21,104,2,0.53,0.47,1.04
3,1,1,1031,4,0,3,1,0,4,1,2,0,22,17,1,1,1,3.05,119,1.2,2.28,132,0.3,0,2.47,84,3,1.32,1.19,0.84
2,0,1,418,6,0,2,1,0,2,0,1,0,25,22,1,1,1,0.78,10,0.3,0.45,15,0.2,0,1.1,15,2,0.15,0.1,0.15
3,1,1,1052,4,0,3,1,0,2,1,3,0,25,3,1,1,1,2.42,93,0.3,1.66,106,0.1,0,1.44,100,3,1.06,0.93,1.0
3,1,1,878,3,1,3,2,0,4,1,3,0,22,1,1,1,1,2.52,194,1.2,1.06,266,0.1,0,2.34,162,2,2.66,1.94,1.62
2,0,1,290,3,0,5,1,1,2,0,4,0,1,22,1,1,1,2.46,50,0.3,1.32,65,0.3,1,2.34,84,1,0.65,0.5,0.84
3,1,1,869,3,1,3,2,0,3,1,3,0,22,1,1,1,1,2.75,166,1.2,1.29,210,0.2,0,1.68,88,3,2.1,1.66,0.88
3,1,1,743,3,1,1,2,0,3,1,3,0,1,22,1,1,1,1.64,106,0.3,0.64,140,0.2,0,1.7,156,2,1.4,1.06,1.56
3,1,1,560,3,0,1,2,0,2,1,3,0,2,17,1,1,1,2.05,59,0.6,0.69,80,0.3,0,1.82,64,2,0.8,0.59,0.64
3,1,1,553,3,0,1,1,1,3,1,2,0,1,22,1,1,1,1.96,53,0.3,0.82,64,0.3,0,2.21,84,2,0.64,0.53,0.84
3,1,1,995,4,0,1,1,1,4,0,2,0,25,17,1,1,1,3.14,86,0.6,1.66,108,0.3,0,3.51,120,3,1.08,0.86,1.2
3,1,1,1177,4,1,3,1,1,5,1,2,0,15,19,1,1,1,1.71,119,0.6,0.93,142,0.1,0,0.72,60,3,1.42,1.19,0.6
3,1,1,882,3,1,3,2,0,4,1,3,0,25,1,1,1,1,1.82,252,0.3,0.63,266,0.1,0,2.73,175,2,2.66,2.52,1.75
3,1,1,963,4,0,1,1,0,3,1,3,0,1,17,1,1,1,1.04,31,1.2,0.51,38,0.2,0,0.91,40,2,0.38,0.31,0.4
3,1,1,1162,4,1,3,1,1,5,0,3,0,22,12,1,1,1,1.57,184,0.6,0.99,181,0.2,0,1.36,76,3,1.81,1.84,0.76
3,1,1,1016,4,0,1,1,1,3,1,3,0,17,22,1,1,1,2.24,64,1.2,0.71,78,0.2,0,2.2,169,2,0.78,0.64,1.69
3,1,1,799,3,1,1,3,0,2,1,2,0,1,25,1,1,1,1.94,105,1.2,0.77,127,0.2,0,2.0,169,2,1.27,1.05,1.69
3,1,1,549,3,0,1,1,1,2,0,2,0,22,2,1,1,1,1.03,22,0.6,0.34,26,0.2,0,0.7,52,2,0.26,0.22,0.52
3,1,1,826,3,1,1,3,1,3,1,3,0,25,12,1,1,1,1.75,81,0.3,1.23,94,0.3,0,1.9,125,2,0.94,0.81,1.25
3,1,1,1103,4,0,3,1,1,3,1,2,0,18,2,1,1,1,2.0,97,0.3,1.45,108,0.1,0,1.36,115,3,1.08,0.97,1.15
3,1,1,873,3,1,3,2,0,4,1,2,0,22,19,1,1,1,2.83,128,0.6,1.86,142,0.2,0,1.3,110,3,1.42,1.28,1.1
3,1,1,994,4,0,1,1,1,4,0,2,0,25,14,1,1,1,2.23,79,0.6,1.18,91,0.1,0,2.4,116,3,0.91,0.79,1.16
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,1.02,29,1.2,0.53,32,0.3,0,0.56,45,2,0.32,0.29,0.45
3,1,1,695,3,1,1,2,0,2,1,3,0,2,1,1,1,1,0.98,71,0.6,0.57,78,0.2,0,1.3,65,2,0.78,0.71,0.65
3,1,1,741,3,1,1,2,0,2,1,3,0,17,2,1,1,1,1.51,81,1.2,0.77,105,0.2,0,1.4,123,2,1.05,0.81,1.23
3,1,1,758,3,1,1,2,1,2,1,3,0,20,2,1,1,1,1.85,76,1.2,1.08,88,0.2,0,1.44,84,2,0.88,0.76,0.84
3,1,1,650,3,0,3,3,0,3,1,3,0,14,22,1,1,1,2.79,128,1.2,1.9,144,0.2,0,1.9,162,2,1.44,1.28,1.62
3,1,1,680,3,1,1,1,0,3,1,2,0,20,10,1,1,1,2.73,90,0.3,1.97,97,0.1,0,1.7,84,3,0.97,0.9,0.84
3,1,1,875,3,1,3,2,0,4,1,3,0,2,1,1,1,1,1.07,122,0.3,0.58,142,0.1,0,0.8,55,3,1.42,1.22,0.55
3,1,1,1165,4,1,3,1,1,3,0,3,0,22,1,1,1,1,2.03,238,0.6,0.89,254,0.2,0,1.52,100,3,2.54,2.38,1.0
3,1,1,712,3,1,1,2,0,3,1,3,0,9,25,1,1,1,2.92,131,0.3,1.21,150,0.3,0,1.76,175,2,1.5,1.31,1.75
2,0,1,424,7,0,1,1,0,4,0,2,0,2,1,1,1,1,0.85,32,1.2,0.38,38,0.3,0,1.04,36,2,0.38,0.32,0.36
3,1,1,527,2,0,6,1,1,2,0,2,0,1,25,1,1,1,2.04,12,0.3,1.01,19,0.2,0,1.68,92,1,0.19,0.12,0.92
3,1,1,1047,4,0,3,1,0,4,1,3,0,25,2,1,1,1,1.39,108,0.6,0.78,116,0.1,0,1.4,60,2,1.16,1.08,0.6
3,1,1,1006,4,0,1,1,1,5,1,2,0,1,2,1,1,1,1.3,50,1.2,0.93,62,0.1,0,0.88,70,2,0.62,0.5,0.7
3,1,1,865,3,1,3,2,0,3,1,3,0,2,1,1,1,1,0.98,170,1.2,0.57,210,0.1,0,0.8,65,3,2.1,1.7,0.65
3,1,1,1149,4,1,1,3,0,3,1,3,0,2,17,1,1,1,2.39,92,0.6,0.82,109,0.1,0,1.36,110,3,1.09,0.92,1.1
3,1,1,460,1,0,3,1,0,3,1,3,0,25,22,1,1,1,1.38,39,0.6,1.2,57,0.3,0,0.32,39,3,0.57,0.39,0.39
3,1,1,685,3,1,1,1,1,4,1,3,0,1,2,1,1,1,1.81,74,0.3,1.0,81,0.1,0,1.1,60,2,0.81,0.74,0.6
2,0,1,48,1,0,6,3,1,3,1,2,1,25,22,1,1,1,0.44,2340,1.2,0.23,3120,0.3,0,0.52,67,2,0.0,0.0,0.67
3,1,1,1041,4,0,3,1,0,2,1,2,0,22,1,1,1,1,1.38,86,1.2,0.87,91,0.3,0,0.88,84,3,0.91,0.86,0.84
3,1,1,716,3,1,1,2,0,3,1,3,0,17,2,1,1,1,1.71,101,0.6,0.87,118,0.1,0,1.5,72,2,1.18,1.01,0.72
2,0,1,419,6,0,2,1,1,3,1,2,0,25,22,1,1,1,0.87,16,1.2,0.51,18,0.3,1,0.7,15,2,0.18,0.16,0.15
3,1,1,1070,4,0,3,1,1,5,0,3,0,22,2,1,1,1,0.82,45,0.6,0.31,68,0.3,0,0.56,58,3,0.68,0.45,0.58
2,0,1,237,3,0,1,1,1,3,1,1,0,22,1,1,1,1,2.47,65,1.2,0.95,70,0.3,1,1.6,100,2,0.7,0.65,1.0
3,1,1,792,3,1,1,2,1,3,1,3,0,22,1,1,1,1,1.71,113,0.3,0.75,122,0.1,0,2.21,169,2,1.22,1.13,1.69
2,0,1,150,2,0,6,1,1,3,1,3,1,2,1,1,1,1,0.75,2340,0.3,0.31,3380,0.3,0,0.9,100,2,0.0,0.0,1.0
3,1,1,453,1,0,1,2,1,2,0,2,0,25,1,1,1,1,1.82,62,0.3,0.71,86,0.2,0,2.0,128,2,0.86,0.62,1.28
2,0,1,62,1,1,1,1,1,2,0,2,0,2,17,1,1,1,1.65,73,0.6,1.16,88,0.3,1,1.68,143,2,0.88,0.73,1.43
2,0,1,348,3,1,1,1,1,3,1,2,0,1,10,1,1,1,1.65,67,0.6,1.14,78,0.1,0,1.95,104,2,0.78,0.67,1.04
2,0,1,71,1,1,1,2,1,3,0,3,0,17,2,1,1,1,1.62,101,0.3,0.58,109,0.1,0,1.43,123,2,1.09,1.01,1.23
3,1,1,1143,4,1,1,1,1,5,1,3,0,2,22,1,1,1,1.24,60,0.6,0.86,68,0.2,0,1.3,65,1,0.68,0.6,0.65
3,1,1,1176,4,1,3,1,1,3,1,3,0,25,18,1,1,1,7.94,239,1.2,7.5,274,0.3,0,3.51,132,3,2.74,2.39,1.32
3,1,1,698,3,1,1,2,0,2,1,3,0,17,23,1,1,1,3.1,98,0.6,2.1,118,0.1,0,2.73,169,2,1.18,0.98,1.69
3,1,1,1181,4,1,3,2,0,5,1,2,0,25,1,1,1,1,2.36,210,0.6,0.63,245,0.1,0,1.68,160,3,2.45,2.1,1.6
3,1,1,814,3,1,1,3,1,2,1,2,0,17,10,1,1,1,1.93,90,0.3,1.13,109,0.3,0,1.95,76,2,1.09,0.9,0.76
2,0,1,183,2,0,10,2,1,1,0,1,1,22,25,1,1,1,0.54,1350,0.3,0.3,1800,0.1,1,0.4,30,2,0.0,0.0,0.3
3,1,1,689,3,1,1,1,1,4,1,3,0,22,17,1,1,1,3.23,101,1.2,1.16,127,0.2,0,1.84,96,2,1.27,1.01,0.96
2,0,1,431,7,0,6,1,1,2,1,1,1,1,17,1,1,1,1.46,3120,1.2,0.71,3120,0.3,1,0.9,40,2,0.0,0.0,0.4
2,0,1,276,3,0,3,1,1,5,0,1,0,22,25,1,1,1,0.6,46,1.2,0.36,57,0.2,0,0.52,20,1,0.57,0.46,0.2
3,1,1,497,1,1,3,1,1,3,1,3,0,17,13,1,1,1,2.17,138,0.3,1.72,153,0.1,0,1.12,80,3,1.53,1.38,0.8
3,1,1,673,3,1,1,1,0,3,1,3,0,22,1,1,1,1,2.03,92,1.2,1.07,105,0.3,0,1.44,182,3,1.05,0.92,1.82
3,1,1,672,3,1,1,1,0,3,1,3,0,17,3,1,1,1,2.24,71,0.3,1.95,84,0.2,0,0.88,52,3,0.84,0.71,0.52
3,1,1,857,3,1,3,2,0,2,1,3,0,17,25,1,1,1,2.83,245,1.2,1.09,281,0.3,0,2.56,240,2,2.81,2.45,2.4
3,1,1,630,3,0,3,2,1,2,1,2,0,17,2,1,1,1,2.15,114,0.6,1.28,139,0.3,0,1.43,52,3,1.39,1.14,0.52
3,1,1,777,3,1,1,2,1,4,1,2,0,2,1,1,1,1,1.15,89,0.6,0.73,94,0.1,0,1.1,52,3,0.94,0.89,0.52
3,1,1,461,1,0,3,1,0,1,1,1,0,22,2,1,1,1,1.03,60,0.6,0.38,86,0.3,0,0.91,28,3,0.86,0.6,0.28
3,1,1,702,3,1,1,2,0,3,1,2,0,2,17,1,1,1,1.93,79,0.3,0.8,90,0.1,0,1.2,95,2,0.9,0.79,0.95
3,1,1,1005,4,0,1,1,1,5,1,1,0,2,15,1,1,1,2.55,62,0.6,1.09,80,0.3,0,1.82,68,3,0.8,0.62,0.68
3,1,1,1189,4,1,6,1,1,3,1,2,0,25,22,1,1,1,0.99,17,0.6,0.77,25,0.1,0,0.91,52,2,0.25,0.17,0.52
3,1,1,843,3,1,3,1,1,2,1,4,0,1,22,1,1,1,2.24,170,0.3,0.74,237,0.2,0,2.6,135,3,2.37,1.7,1.35
2,0,1,419,6,0,2,1,1,3,1,2,0,25,22,1,1,1,0.77,16,0.3,0.55,23,0.2,1,0.7,19,3,0.23,0.16,0.19
3,1,1,586,3,0,1,3,0,2,1,3,0,2,1,1,1,1,1.16,34,0.3,0.61,40,0.1,0,0.64,50,2,0.4,0.34,0.5
2,0,1,130,2,0,6,1,0,2,1,4,1,2,22,1,1,1,0.95,3120,0.6,0.3,4160,0.3,0,0.78,36,3,0.0,0.0,0.36
3,1,1,576,3,0,1,2,1,3,1,2,0,22,18,1,1,1,2.34,66,1.2,1.83,70,0.3,0,2.16,234,3,0.7,0.66,2.34
3,1,1,607,3,0,3,1,0,4,1,2,0,17,22,1,1,1,2.92,128,0.6,0.71,156,0.1,0,1.76,130,3,1.56,1.28,1.3
3,1,1,709,3,1,1,2,0,3,1,3,0,2,17,1,1,1,2.09,97,1.2,1.71,109,0.2,0,1.6,123,2,1.09,0.97,1.23
2,0,1,430,7,0,3,2,0,3,0,2,0,25,10,1,1,1,0.97,61,0.6,0.94,76,0.3,1,0.8,195,3,0.76,0.61,1.95
2,0,1,326,3,0,7,1,1,1,1,1,1,1,2,1,1,1,1.32,1850,0.3,0.89,2960,0.2,0,0.72,40,1,0.0,0.0,0.4
3,1,1,656,3,1,1,0,0,2,1,0,0,17,2,1,1,1,1.74,76,0.3,0.61,88,0.1,0,1.12,95,2,0.88,0.76,0.95
3,1,1,651,3,0,3,3,0,4,1,2,0,25,1,1,1,1,2.36,148,0.6,0.81,198,0.3,0,2.73,124,3,1.98,1.48,1.24
3,1,1,965,4,0,1,1,0,5,1,1,0,2,20,1,1,1,1.85,60,0.6,1.54,66,0.1,0,1.6,68,3,0.66,0.6,0.68
2,0,1,256,3,0,1,1,1,3,0,4,0,22,2,1,1,1,1.13,31,0.6,0.55,36,0.2,0,0.56,53,2,0.36,0.31,0.53
2,0,1,178,2,0,8,2,1,2,1,1,0,22,25,1,1,1,0.52,300,1.2,0.31,390,0.2,0,0.6,52,2,3.9,3.0,0.52
3,1,1,1069,4,0,3,1,1,4,1,3,0,22,1,1,1,1,1.73,119,0.6,1.48,128,0.1,0,1.4,72,3,1.28,1.19,0.72
3,1,1,739,3,1,1,2,0,2,0,3,0,3,22,1,1,1,1.62,89,1.2,1.07,90,0.2,0,1.82,85,2,0.9,0.89,0.85
3,1,1,879,3,1,3,2,0,4,1,3,0,22,1,1,1,1,1.69,181,1.2,0.78,218,0.2,0,1.7,143,2,2.18,1.81,1.43
3,1,1,785,3,1,1,2,1,4,1,3,0,17,2,1,1,1,2.42,90,0.3,1.06,105,0.1,0,1.5,72,3,1.05,0.9,0.72
2,0,1,387,3,1,7,1,1,5,0,1,1,25,23,1,1,1,1.08,3480,0.3,0.68,3770,0.3,0,0.64,58,1,0.0,0.0,0.58
3,1,1,996,4,0,1,1,1,4,1,1,0,1,10,1,1,1,1.35,42,0.3,0.77,46,0.1,0,1.4,52,2,0.46,0.42,0.52
2,0,1,195,2,1,5,2,1,2,1,3,0,19,25,1,1,1,0.66,83,0.6,0.33,108,0.1,0,0.96,110,3,1.08,0.83,1.1
3,1,1,1165,4,1,3,1,1,3,0,3,0,22,1,1,1,1,2.44,198,1.2,0.95,274,0.1,0,2.47,162,2,2.74,1.98,1.62
3,1,1,867,3,1,3,2,0,3,1,3,0,17,11,1,1,1,1.65,147,1.2,1.34,162,0.2,0,1.2,104,2,1.62,1.47,1.04
3,1,1,1191,4,1,6,1,1,3,1,3,0,25,3,1,1,1,2.81,17,0.3,1.6,31,0.2,0,2.21,100,2,0.31,0.17,1.0
3,1,1,470,1,0,3,2,0,3,1,2,0,22,9,1,1,1,1.71,133,1.2,0.89,172,0.1,0,1.36,135,3,1.72,1.33,1.35
